排名,电影名,电影详情,电影评分,评价人数,点评
64,致命魔术/ThePrestige/顶尖对决(台)/死亡魔法(港),导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...2006/美国英国/剧情悬疑惊悚,8.8,374966,孪生蝙蝠侠大战克隆金刚狼。
65,看不见的客人/Contratiempo/佈局(台)/死无对证(港),导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...2016/西班牙/剧情犯罪悬疑惊悚,8.8,376150,你以为你以为的就是你以为的。
66,音乐之声/TheSoundofMusic/仙乐飘飘处处闻(港)/真善美(台),导演:RobertWise主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...1965/美国/剧情传记爱情歌舞,8.9,250725,用音乐化解仇恨，让歌声串起美好。
67,勇敢的心/Braveheart/惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...1995/美国/动作传记剧情历史战争,8.8,314624,史诗大片的典范。
68,剪刀手爱德华/EdwardScissorhands/幻海奇缘(港)/剪刀手爱德华,导演:TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...1990/美国/剧情奇幻爱情,8.7,522465,浪漫忧郁的成人童话。
69,本杰明·巴顿奇事/TheCuriousCaseofBenjaminButton/奇幻逆缘(港)/返老还童,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...2008/美国/剧情爱情奇幻,8.8,424736,在时间之河里感受溺水之苦。
70,低俗小说/PulpFiction/黑色追緝令(台)/危险人物(港),导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...1994/美国/剧情喜剧犯罪,8.8,363972,故事的高级讲法。
71,西西里的美丽传说/Malèna/真爱伴我行(台)/玛莲娜,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...2000/意大利美国/剧情战争情色,8.7,384114,美丽无罪。
72,黑客帝国/TheMatrix/廿二世纪杀人网络(港)/骇客任务(台),导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...1999/美国澳大利亚/动作科幻,8.8,306360,视觉革命。
73,拯救大兵瑞恩/SavingPrivateRyan/雷霆救兵(港)/抢救雷恩大兵(台),导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...1998/美国/剧情历史战争,8.9,261597,美利坚精神输出大片No1.
74,沉默的羔羊/TheSilenceoftheLambs/沉默的羔羊,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...1991/美国/剧情犯罪惊悚,8.7,382716,安东尼·霍普金斯的顶级表演。
75,入殓师/おくりびと/礼仪师之奏鸣曲(港)/礼仪师(台),导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...2008/日本/剧情,8.8,337833,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
76,蝴蝶效应/TheButterflyEffect/蝴蝶效应,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...2004/美国加拿大/剧情悬疑科幻惊悚,8.7,413277,人的命运被自己瞬间的抉择改变。
77,让子弹飞/让子弹飞一会儿/火烧云,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010/中国大陆香港/剧情喜剧动作西部,8.7,675506,你给我翻译翻译，神马叫做TMD的惊喜。
78,玛丽和马克思/MaryandMax/巧克力情缘(台)/同是天涯寂寞客,导演:亚当·艾略特AdamElliot主演:托妮·科莱特ToniCollette/菲利...2009/澳大利亚/剧情动画,8.9,244230,你是我最好的朋友，你是我唯一的朋友 。
79,春光乍泄/春光乍洩/一起快乐/HappyTogether,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...1997/香港日本韩国/剧情爱情同性,8.8,269493,爱情纠缠，男女一致。
80,大闹天宫/大闹天宫上下集/TheMonkeyKing,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,9.2,111268,经典之作，历久弥新。
81,心灵捕手/GoodWillHunting/骄阳似我(港)/心灵捕手,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon/罗宾·...1997/美国/剧情,8.8,294621,人生中应该拥有这样的一段豁然开朗。
82,阳光灿烂的日子/IntheHeatoftheSun,导演:姜文WenJiang主演:夏雨YuXia/宁静JingNing/陶虹HongTao1994/中国大陆香港/剧情,8.8,291923,一场华丽的意淫。
83,末代皇帝/TheLastEmperor/末代皇帝溥仪(港),导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone/陈...1987/意大利中国大陆英国法国/剧情传记历史,8.9,188538,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
84,幽灵公主/もののけ姫/魔法公主/幽灵少女,导演:宫崎骏HayaoMiyazaki主演:松田洋治YôjiMatsuda/石田百合...1997/日本/动作爱情战争动画奇幻冒险,8.8,253702,人与自然的战争史诗。
85,第六感/TheSixthSense/灵异第六感/鬼眼,导演:M·奈特·沙马兰M.NightShyamalan主演:布鲁斯·威利斯BruceWi...1999/美国/剧情悬疑惊悚,8.8,252175,深入内心的恐怖，出人意料的结局。
86,重庆森林/重慶森林/ChungkingExpress,导演:王家卫KarWaiWong主演:林青霞BrigitteLin/金城武TakeshiK...1994/香港/剧情爱情,8.7,358143,寂寞没有期限。
87,禁闭岛/ShutterIsland/不赦岛(港)/隔离岛(台),导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010/美国/剧情悬疑惊悚,8.7,388694,昔日翩翩少年，今日大腹便便。
88,布达佩斯大饭店/TheGrandBudapestHotel/布达佩斯大酒店(港)/欢迎来到布达佩斯大饭店(台),导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes/...2014/美国德国英国/剧情喜剧冒险,8.8,343546,小清新的故事里注入了大历史的情怀。
